2026-03-25:15:12:28:244: @11_SYSID;
2026-03-25:15:12:28:265: [00/08/28,08:16:12.0498,0046]#11_SYSID=CCU20_MASTER_01_03_01_02,ID,00Y0000;
2026-03-25:15:13:05:973: @11_CONFIG=CAN1,BAUDRATE,500K;
2026-03-25:15:13:05:989: [00/08/28,08:16:50.0228,0030]#11_CONFIG=CAN1,BAUDRATE,500K;
2026-03-25:15:13:05:994: @11_CAN=1,START;
2026-03-25:15:13:06:003: [00/08/28,08:16:50.0248,0016]#11_CAN=1,START;
2026-03-25:15:13:08:316: @11_CONFIG=CAN3,BAUDRATE,500K;
2026-03-25:15:13:08:343: [00/08/28,08:16:52.0572,0030]#11_CONFIG=CAN3,BAUDRATE,500K;
2026-03-25:15:13:08:345: @11_CAN=3,START;
2026-03-25:15:13:08:375: [00/08/28,08:16:52.0604,0016]#11_CAN=3,START;
2026-03-25:15:13:37:306: @11_TSTRT;
2026-03-25:15:13:37:330: [00/08/28,08:17:21.0561,0010]#11_TSTRT;
2026-03-25:15:14:59:440: [00/08/28,08:18:43.0684,0040]#11_CAN=3,STD,0X07FA,0X0296000000000000;
2026-03-25:15:14:59:447: [00/08/28,08:18:43.0692,0040]#11_CAN=1,STD,0X07FA,0X0296000000000000;
2026-03-25:15:14:59:486: [00/08/28,08:18:43.0728,0032]#11_CAN=3,STD,0X07FB,0X03A09600;
2026-03-25:15:14:59:520: [00/08/28,08:18:43.0735,0032]#11_CAN=1,STD,0X07FB,0X03A09600;
2026-03-25:15:14:59:720: [00/08/28,08:18:43.0964,0040]#11_CAN=3,STD,0X07FA,0X0385010200000000;
2026-03-25:15:14:59:725: [00/08/28,08:18:43.0971,0040]#11_CAN=1,STD,0X07FA,0X0385010200000000;
2026-03-25:15:15:00:093: [00/08/28,08:18:44.0332,0040]#11_CAN=3,STD,0X07FB,0X100BA08501AF0080;
2026-03-25:15:15:00:100: [00/08/28,08:18:44.0334,0040]#11_CAN=3,STD,0X07FA,0X3000000000000000;
2026-03-25:15:15:00:104: [00/08/28,08:18:44.0336,0036]#11_CAN=3,STD,0X07FB,0X21B47000E100;
2026-03-25:15:15:00:106: [00/08/28,08:18:44.0340,0040]#11_CAN=1,STD,0X07FB,0X100BA08501AF0080;
2026-03-25:15:15:00:108: [00/08/28,08:18:44.0342,0040]#11_CAN=1,STD,0X07FA,0X3000000000000000;
2026-03-25:15:15:00:114: [00/08/28,08:18:44.0343,0036]#11_CAN=1,STD,0X07FB,0X21B47000E100;
2026-03-25:15:15:39:835: [00/08/28,08:19:24.0083,0040]#11_CAN=1,STD,0X07FA,0X0296100000000000;
2026-03-25:15:15:39:838: [00/08/28,08:19:24.0085,0040]#11_CAN=1,STD,0X07FB,0X1011A09610000000;
2026-03-25:15:15:39:839: [00/08/28,08:19:24.0087,0040]#11_CAN=1,STD,0X07FA,0X3000000000000000;
2026-03-25:15:15:39:841: [00/08/28,08:19:24.0089,0040]#11_CAN=1,STD,0X07FB,0X2100000000000000;
2026-03-25:15:15:39:843: [00/08/28,08:19:24.0090,0034]#11_CAN=1,STD,0X07FB,0X2200000000;
2026-03-25:15:15:39:867: [00/08/28,08:19:24.0105,0040]#11_CAN=3,STD,0X07FA,0X0296100000000000;
2026-03-25:15:15:39:869: [00/08/28,08:19:24.0107,0040]#11_CAN=3,STD,0X07FB,0X1011A09610000000;
2026-03-25:15:15:39:872: [00/08/28,08:19:24.0109,0040]#11_CAN=3,STD,0X07FA,0X3000000000000000;
2026-03-25:15:15:39:874: [00/08/28,08:19:24.0111,0040]#11_CAN=3,STD,0X07FB,0X2100000000000000;
2026-03-25:15:15:39:989: [00/08/28,08:19:24.0113,0034]#11_CAN=3,STD,0X07FB,0X2200000000;
2026-03-25:15:15:40:225: [00/08/28,08:19:24.0473,0040]#11_CAN=1,STD,0X07FA,0X038502FF00000000;
2026-03-25:15:15:40:255: [00/08/28,08:19:24.0495,0040]#11_CAN=3,STD,0X07FA,0X038502FF00000000;
2026-03-25:15:15:40:459: [00/08/28,08:19:24.0698,0040]#11_CAN=1,STD,0X07FB,0X1431A085020011A0;
2026-03-25:15:15:40:461: [00/08/28,08:19:24.0700,0040]#11_CAN=1,STD,0X07FA,0X3000000000000000;
2026-03-25:15:15:40:463: [00/08/28,08:19:24.0702,0040]#11_CAN=1,STD,0X07FB,0X2196100000000000;
2026-03-25:15:15:40:466: [00/08/28,08:19:24.0704,0040]#11_CAN=1,STD,0X07FB,0X2200000000000000;
2026-03-25:15:15:40:468: [00/08/28,08:19:24.0706,0040]#11_CAN=1,STD,0X07FB,0X2300000010A09A11;
2026-03-25:15:15:40:470: [00/08/28,08:19:24.0708,0040]#11_CAN=1,STD,0X07FB,0X2403017F81000002;
2026-03-25:15:15:40:475: [00/08/28,08:19:24.0710,0040]#11_CAN=1,STD,0X07FB,0X259E000001CCFF00;
2026-03-25:15:15:40:477: [00/08/28,08:19:24.0712,0040]#11_CAN=1,STD,0X07FB,0X2607A0E111080200;
2026-03-25:15:15:40:479: [00/08/28,08:19:24.0714,0040]#11_CAN=1,STD,0X07FB,0X27000023A0E11100;
2026-03-25:15:15:40:481: [00/08/28,08:19:24.0715,0040]#11_CAN=1,STD,0X07FB,0X2800000000000000;
2026-03-25:15:15:40:485: [00/08/28,08:19:24.0717,0040]#11_CAN=1,STD,0X07FB,0X2900000000000000;
2026-03-25:15:15:40:487: [00/08/28,08:19:24.0719,0040]#11_CAN=1,STD,0X07FB,0X2A00000000000804;
2026-03-25:15:15:40:489: [00/08/28,08:19:24.0721,0040]#11_CAN=1,STD,0X07FB,0X2B08040000000000;
2026-03-25:15:15:40:491: [00/08/28,08:19:24.0723,0040]#11_CAN=1,STD,0X07FB,0X2C0000000023A0E1;
2026-03-25:15:15:40:493: [00/08/28,08:19:24.0725,0040]#11_CAN=1,STD,0X07FB,0X2D11000000000000;
2026-03-25:15:15:40:498: [00/08/28,08:19:24.0727,0040]#11_CAN=1,STD,0X07FB,0X2E00000000000000;
2026-03-25:15:15:40:501: [00/08/28,08:19:24.0728,0040]#11_CAN=1,STD,0X07FB,0X2F00000000000000;
2026-03-25:15:15:40:507: [00/08/28,08:19:24.0730,0040]#11_CAN=1,STD,0X07FB,0X2008040804000000;
2026-03-25:15:15:40:509: [00/08/28,08:19:24.0732,0040]#11_CAN=1,STD,0X07FB,0X2100000000000009;
2026-03-25:15:15:40:512: [00/08/28,08:19:24.0734,0040]#11_CAN=1,STD,0X07FB,0X22A0C31400020000;
2026-03-25:15:15:40:514: [00/08/28,08:19:24.0735,0040]#11_CAN=1,STD,0X07FB,0X235331000DA0C315;
2026-03-25:15:15:40:518: [00/08/28,08:19:24.0737,0040]#11_CAN=1,STD,0X07FB,0X2401020000063000;
2026-03-25:15:15:40:520: [00/08/28,08:19:24.0739,0040]#11_CAN=1,STD,0X07FB,0X2500063A000DA0C3;
2026-03-25:15:15:40:523: [00/08/28,08:19:24.0741,0040]#11_CAN=1,STD,0X07FB,0X2615020200000304;
2026-03-25:15:15:40:525: [00/08/28,08:19:24.0742,0040]#11_CAN=1,STD,0X07FB,0X27000003300008A0;
2026-03-25:15:15:40:528: [00/08/28,08:19:24.0744,0040]#11_CAN=1,STD,0X07FB,0X28C30002000097FF;
2026-03-25:15:15:40:529: [00/08/28,08:19:24.0746,0040]#11_CAN=1,STD,0X07FB,0X290008A0C3000200;
2026-03-25:15:15:40:531: [00/08/28,08:19:24.0748,0040]#11_CAN=1,STD,0X07FB,0X2A0079870008A0C3;
2026-03-25:15:15:40:533: [00/08/28,08:19:24.0750,0040]#11_CAN=1,STD,0X07FB,0X2B00020000456C00;
2026-03-25:15:15:40:535: [00/08/28,08:19:24.0751,0040]#11_CAN=1,STD,0X07FB,0X2C08A0C300020000;
2026-03-25:15:15:40:540: [00/08/28,08:19:24.0753,0040]#11_CAN=1,STD,0X07FB,0X2D60040008A0C300;
2026-03-25:15:15:40:543: [00/08/28,08:19:24.0755,0040]#11_CAN=1,STD,0X07FB,0X2E02000097FF0008;
2026-03-25:15:15:40:546: [00/08/28,08:19:24.0757,0040]#11_CAN=1,STD,0X07FB,0X2FA0C30002000076;
2026-03-25:15:15:40:547: [00/08/28,08:19:24.0758,0040]#11_CAN=1,STD,0X07FB,0X20E80008A0C30002;
2026-03-25:15:15:40:550: [00/08/28,08:19:24.0760,0040]#11_CAN=1,STD,0X07FB,0X2100004AF40008A0;
2026-03-25:15:15:40:554: [00/08/28,08:19:24.0762,0040]#11_CAN=1,STD,0X07FB,0X22C3000200006000;
2026-03-25:15:15:40:557: [00/08/28,08:19:24.0764,0040]#11_CAN=1,STD,0X07FB,0X230005A0D3100000;
2026-03-25:15:15:40:560: [00/08/28,08:19:24.0765,0040]#11_CAN=1,STD,0X07FB,0X240005A0D3100100;
2026-03-25:15:15:40:562: [00/08/28,08:19:24.0767,0040]#11_CAN=1,STD,0X07FB,0X250005A0D3100100;
2026-03-25:15:15:40:563: [00/08/28,08:19:24.0769,0040]#11_CAN=1,STD,0X07FB,0X260005A0D3100100;
2026-03-25:15:15:40:565: [00/08/28,08:19:24.0771,0040]#11_CAN=1,STD,0X07FB,0X270005A0D3100000;
2026-03-25:15:15:40:567: [00/08/28,08:19:24.0773,0040]#11_CAN=1,STD,0X07FB,0X280005A0D3100100;
2026-03-25:15:15:40:569: [00/08/28,08:19:24.0774,0040]#11_CAN=1,STD,0X07FB,0X290005A0D3100100;
2026-03-25:15:15:40:574: [00/08/28,08:19:24.0776,0040]#11_CAN=1,STD,0X07FB,0X2A0005A0D3100000;
2026-03-25:15:15:40:576: [00/08/28,08:19:24.0778,0040]#11_CAN=1,STD,0X07FB,0X2B0005A0D3100000;
2026-03-25:15:15:40:578: [00/08/28,08:19:24.0780,0040]#11_CAN=1,STD,0X07FB,0X2C0005A0D3100000;
2026-03-25:15:15:40:580: [00/08/28,08:19:24.0781,0040]#11_CAN=1,STD,0X07FB,0X2D0005A0D3100100;
2026-03-25:15:15:40:583: [00/08/28,08:19:24.0783,0040]#11_CAN=1,STD,0X07FB,0X2E0005A0D3100000;
2026-03-25:15:15:40:585: [00/08/28,08:19:24.0785,0040]#11_CAN=1,STD,0X07FB,0X2F0005A0D3100000;
2026-03-25:15:15:40:588: [00/08/28,08:19:24.0787,0040]#11_CAN=1,STD,0X07FB,0X200005A0D3100100;
2026-03-25:15:15:40:590: [00/08/28,08:19:24.0788,0040]#11_CAN=1,STD,0X07FB,0X210005A0D3100000;
2026-03-25:15:15:40:592: [00/08/28,08:19:24.0790,0040]#11_CAN=1,STD,0X07FB,0X220013A0D4110000;
2026-03-25:15:15:40:594: [00/08/28,08:19:24.0792,0040]#11_CAN=1,STD,0X07FB,0X2300000000000000;
2026-03-25:15:15:40:596: [00/08/28,08:19:24.0794,0040]#11_CAN=1,STD,0X07FB,0X2400000000000213;
2026-03-25:15:15:40:597: [00/08/28,08:19:24.0796,0040]#11_CAN=1,STD,0X07FB,0X250013A0D4110000;
2026-03-25:15:15:40:602: [00/08/28,08:19:24.0798,0040]#11_CAN=1,STD,0X07FB,0X2600000000000000;
2026-03-25:15:15:40:605: [00/08/28,08:19:24.0800,0040]#11_CAN=1,STD,0X07FB,0X2700000000000213;
2026-03-25:15:15:40:607: [00/08/28,08:19:24.0802,0040]#11_CAN=1,STD,0X07FB,0X280013A0D4110000;
2026-03-25:15:15:40:609: [00/08/28,08:19:24.0804,0040]#11_CAN=1,STD,0X07FB,0X2900000000000000;
2026-03-25:15:15:40:610: [00/08/28,08:19:24.0806,0040]#11_CAN=1,STD,0X07FB,0X2A00000000000213;
2026-03-25:15:15:40:612: [00/08/28,08:19:24.0808,0040]#11_CAN=1,STD,0X07FB,0X2B0013A0D4110000;
2026-03-25:15:15:40:614: [00/08/28,08:19:24.0810,0040]#11_CAN=1,STD,0X07FB,0X2C00000000000000;
2026-03-25:15:15:40:616: [00/08/28,08:19:24.0811,0040]#11_CAN=1,STD,0X07FB,0X2D00000000000213;
2026-03-25:15:15:40:618: [00/08/28,08:19:24.0813,0040]#11_CAN=1,STD,0X07FB,0X2E0013A0D4110000;
